login_location,typing_speed,transaction_pattern,is_suspicious
0,196.55000144869413,0.39279757672456206,0
0,161.20829269975138,0.13998996632720118,0
1,74.04460046972835,0.9124217733388136,1
1,180.53991405867774,0.4754210836063001,0
1,142.83831568974037,0.2216968971838151,0
0,131.6143697528991,0.30990986410335564,0
1,150.45012539746529,0.2465447373174767,0
1,173.28702065331612,0.2529847965068651,0
0,133.25152889039984,0.34301794076057535,0
1,130.92854728119065,0.4768807022739411,0
1,62.18455076693483,0.7293016342019151,1
1,177.82844631778207,0.3439986631130484,0
1,193.65242814551476,0.20351199264000677,0
1,67.00623497964979,0.7623824988604566,1
1,197.8709239435191,0.4100531293444458,0
0,194.86612060556558,0.3909087983425684,0
1,143.71880036934016,0.11809091556421523,0
1,79.89280440549524,0.8619076397167239,1
0,149.66541567811666,0.31707843326329943,0
0,141.56868573441017,0.10625456269647758,0
0,57.948627261366894,0.7016566351370807,1
0,179.7939366924055,0.4160702162124823,0
0,155.09260099809907,0.1463476238100519,0
0,67.97802696552813,0.7286230349471233,1
1,152.76283254187229,0.39184247133522565,0
0,169.2870398093391,0.25317074990151595,0
0,80.4314019446759,0.8683831592708489,1
1,132.8303512676902,0.384265155874315,0
0,137.5523998895313,0.11257167427469371,0
0,169.42929003834686,0.378206434570451,0
1,158.72680461249408,0.4022204554172195,0
1,73.95461865954144,0.9084354799119114,1
1,82.32481518257669,0.8900211269531271,1
1,145.29083060517834,0.2666039791481465,0
0,186.5208108614844,0.45843651996939727,0
0,60.88528997538541,0.8943070361624087,1
1,84.42922333025373,0.7020856391593572,1
1,163.93809799512883,0.37697441315610813,0
1,196.00367927387634,0.2292811728083021,0
1,158.26853197406285,0.12595689884359262,0
0,60.07129183301457,0.8491745517677156,1
1,199.84183395342592,0.206712405710114,0
0,133.60351258749927,0.2114585856946446,0
1,177.64938160883366,0.31237383332685453,0
0,59.68221086046002,0.9016406642217636,1
0,146.9511956794198,0.42125590255195833,0
1,174.34707975326262,0.31430987362990337,0
1,56.02870175861718,0.8524596330222156,1
0,171.36250602317693,0.37102574473691297,0
0,82.38004184558861,0.8045997961875188,1
1,178.3656416671726,0.25469413852021494,0
1,77.02760468157123,0.9205648357722316,1
1,85.09357413523924,0.7773824883145466,1
0,198.7517840330605,0.3066543565084057,0
0,136.51719374641294,0.4588863031813307,0
0,57.548284333655175,0.7836614057776545,1
1,85.88441039810309,0.9661259272795352,1
1,84.03713795070051,0.9806904982662843,1
1,74.2571623863836,0.7027591154849888,1
1,88.94655347021269,0.7851762924212397,1
0,178.43266383848854,0.3607845038010402,0
1,131.26527545308647,0.29755748607337384,0
0,75.98531596188859,0.9547670231482533,1
1,167.97781613884297,0.303525630735504,0
0,147.07927503653585,0.48920422190097823,0
0,193.42691514029877,0.2737577462041715,0
0,170.38327192384514,0.29700707752754557,0
1,164.94353659193266,0.32880167968367324,0
0,142.39774755849342,0.4761834337411658,0
0,191.84458155863814,0.39908750955896555,0
0,67.12736593269257,0.9899964457131009,1
1,53.01385024024513,0.7917091057861545,1
0,62.676880206251106,0.7508478240058277,1
1,189.0949198508418,0.4720067339243328,0
1,173.05050586894188,0.4960215400417053,0
1,150.6703411893257,0.2290203056954402,0
0,179.17388587909764,0.24379646048790207,0
1,159.38465995123934,0.20248277743778323,0
0,70.4536959544375,0.8504548884061598,1
1,134.96586418999493,0.2587135308855554,0
1,63.51980627406143,0.8126748857919832,1
1,177.04182947066397,0.2312610669898928,0
1,150.05788764897991,0.3363333042276043,0
0,132.71843141005962,0.22130620586928915,0
1,166.5570282038363,0.4079974212394444,0
1,68.29060646454914,0.9526069225035945,1
1,167.84445851270746,0.3549719605992826,0
0,197.86758069799112,0.3858380416719809,0
0,60.83329005048297,0.8316914262116908,1
0,142.9033572031959,0.13234918664687909,0
0,158.6267061089989,0.16931772802833833,0
0,146.78511514101822,0.13754931603251672,0
0,149.595372786216,0.4819461122652776,0
0,160.49710290745236,0.3920157266247274,0
0,154.91808750558832,0.4031384441857476,0
1,136.42593460694093,0.13766279530742406,0
1,78.14631437520094,0.8422521487261976,1
1,82.27651908203117,0.8038912963268202,1
0,157.89533140781614,0.34634003922088663,0
0,60.43574493366856,0.7045913620871154,1
1,189.95428888318256,0.363477452647578,0
1,196.072412319253,0.47770063885006697,0
1,195.81611689974704,0.3301896711503516,0
0,138.9950247263737,0.42448167069440124,0
1,65.44410551203097,0.9883571691471742,1
1,149.17727891247935,0.18583564788334966,0
0,136.611007252915,0.37320270936654276,0
1,156.97776346758957,0.3726454675891159,0
0,61.274190990936,0.7354494482864968,1
0,195.56537062989952,0.11567453067025851,0
0,61.28138290285226,0.7532318631339168,1
1,170.3147202680659,0.3926591021198561,0
1,184.34890725193978,0.23632141610120716,0
0,146.7017801853238,0.3719379119600984,0
1,54.12495475343731,0.97076587200387,1
0,157.27326603534425,0.21905406980372435,0
1,130.7586356036209,0.46215279056770553,0
1,196.97606195885194,0.3707079617697213,0
0,174.22860485188596,0.2793782087913279,0
0,168.75921366420604,0.1850911580096916,0
1,81.58472571178216,0.727361830914607,1
0,89.83724968121317,0.716761346403205,1
1,64.03660050208315,0.7351201049282817,1
1,188.58747119661618,0.44674748212433657,0
1,179.0678392021384,0.12910520254567742,0
1,55.86419286768102,0.8539978506077178,1
1,64.9708318302448,0.8111926441200672,1
1,193.53855944439823,0.33675549552851375,0
1,135.84505016890682,0.41085876637097474,0
1,59.94896617721152,0.7990757587057296,1
1,130.79475513371935,0.28746425679765053,0
0,80.68779412434287,0.9468371055630079,1
0,73.33475060388639,0.9886517645423626,1
0,135.8023925185348,0.31134804851888365,0
0,50.48617898759265,0.9909636480122916,1
1,133.03805483087208,0.4698573320894385,0
1,168.76979990809247,0.4877210142476396,0
0,145.17663746105438,0.21779757873577196,0
0,170.902001834617,0.46046320419639564,0
1,88.34809629631386,0.7173591693273121,1
1,173.40928184610758,0.21095247319245308,0
1,157.17878687929107,0.19175789828197987,0
1,198.20763653663164,0.4944842977918412,0
0,149.5834455018262,0.2644826883488745,0
0,141.3831857541424,0.46437087379753705,0
0,66.66556230953917,0.8743487863542478,1
0,195.29099383478092,0.4464255558001634,0
1,158.78785816097584,0.4110409134940902,0
